State,Year,Good Day Ratio
Alabama,2018,0.81870805956312
Alaska,2018,0.9056340104270475
Arizona,2018,0.6606977252616644
Arkansas,2018,0.8264980695436952
California,2018,0.5786337332535798
Colorado,2018,0.7102677774609376
Connecticut,2018,0.8335648947578715
Delaware,2018,0.7899543378995434
District Of Columbia,2018,0.6438356164383562
Florida,2018,0.8827715369574364
Georgia,2018,0.8423770805177833
Hawaii,2018,0.882161423746822
Idaho,2018,0.8158334449333522
Illinois,2018,0.7640350757970734
Indiana,2018,0.8229257753365743
Iowa,2018,0.770414658328714
Kansas,2018,0.8441483232208885
Kentucky,2018,0.8352197708438621
Louisiana,2018,0.8287128215054399
Maine,2018,0.9181884731155542
Maryland,2018,0.7958280780800395
Massachusetts,2018,0.855085728903147
Michigan,2018,0.8434831267246847
Minnesota,2018,0.8531909261885179
Mississippi,2018,0.8321501252352426
Missouri,2018,0.8087189772246359
Montana,2018,0.8354972408183088
Nebraska,2018,0.8933960984693701
Nevada,2018,0.7431467210403785
New Hampshire,2018,0.9135647225707709
New Jersey,2018,0.7843643825723117
New Mexico,2018,0.7638217545400423
New York,2018,0.8752623766529294
North Carolina,2018,0.8411803757013933
North Dakota,2018,0.8710603348210899
Ohio,2018,0.8070130678247741
Oklahoma,2018,0.7927781039179648
Oregon,2018,0.8006303475390201
Pennsylvania,2018,0.7982794614119876
Rhode Island,2018,0.8598316940298396
South Carolina,2018,0.8943969472823985
South Dakota,2018,0.8817561393240899
Tennessee,2018,0.8502526673386829
Texas,2018,0.797275961138774
Utah,2018,0.6320492166667324
Vermont,2018,0.9060824259454396
Virginia,2018,0.913309283295975
Washington,2018,0.8403249305054243
West Virginia,2018,0.8832644951067646
Wisconsin,2018,0.8247755195638751
Wyoming,2018,0.7894774361200021
Alabama,2019,0.8140110262764402
Alaska,2019,0.8892539822220473
Arizona,2019,0.7066046730967835
Arkansas,2019,0.8366350993190702
California,2019,0.6923987931845363
Colorado,2019,0.8122283778627775
Connecticut,2019,0.8531534429584282
Delaware,2019,0.7771689497716895
District Of Columbia,2019,0.663013698630137
Florida,2019,0.8868535564592224
Georgia,2019,0.7876689610105103
Hawaii,2019,0.9841576581957956
Idaho,2019,0.8834823554614821
Illinois,2019,0.7730968133476471
Indiana,2019,0.8400853883528995
Iowa,2019,0.8358911522704704
Kansas,2019,0.895980142820778
Kentucky,2019,0.862532768142273
Louisiana,2019,0.8425076612069536
Maine,2019,0.9480817143262307
Maryland,2019,0.8199782265393377
Massachusetts,2019,0.9051757543832001
Michigan,2019,0.8827257298176695
Minnesota,2019,0.895806949450718
Mississippi,2019,0.8344246363396166
Missouri,2019,0.8649218782992522
Montana,2019,0.8996400742335801
Nebraska,2019,0.9370436753768089
Nevada,2019,0.8398357547290071
New Hampshire,2019,0.9642041802816985
New Jersey,2019,0.8011312750081951
New Mexico,2019,0.8000523218087863
New York,2019,0.9209051751223559
North Carolina,2019,0.8409882938643377
North Dakota,2019,0.9431773948033761
Ohio,2019,0.827357523214259
Oklahoma,2019,0.8428444477129986
Oregon,2019,0.845825599942227
Pennsylvania,2019,0.8280818875301941
Rhode Island,2019,0.8885613393033484
South Carolina,2019,0.8812902106941409
South Dakota,2019,0.9045074144826568
Tennessee,2019,0.8513210279978556
Texas,2019,0.8021571890357433
Utah,2019,0.7651613520838494
Vermont,2019,0.9363013698630137
Virginia,2019,0.932751110764888
Washington,2019,0.8867880892571407
West Virginia,2019,0.8993672513799161
Wisconsin,2019,0.8790028448375055
Wyoming,2019,0.8710035735426537
Alabama,2020,0.8595057994132024
Alaska,2020,0.9420248225856991
Arizona,2020,0.6766879752057952
Arkansas,2020,0.8938961459824771
California,2020,0.6040230670056572
Colorado,2020,0.7966708038870419
Connecticut,2020,0.850249248485379
Delaware,2020,0.8785687689319607
District Of Columbia,2020,0.8579234972677595
Florida,2020,0.8833281315960079
Georgia,2020,0.887812120124131
Hawaii,2020,0.9917367341506569
Idaho,2020,0.8346369384564454
Illinois,2020,0.8099633063691528
Indiana,2020,0.8589493442667153
Iowa,2020,0.8558381931123635
Kansas,2020,0.866675774181175
Kentucky,2020,0.916898766875465
Louisiana,2020,0.8774259977466667
Maine,2020,0.9513228774158797
Maryland,2020,0.9272957552755914
Massachusetts,2020,0.9073435954998336
Michigan,2020,0.8792230384305694
Minnesota,2020,0.9308329554226443
Mississippi,2020,0.8470929883476224
Missouri,2020,0.8851971162327278
Montana,2020,0.8751566159620849
Nebraska,2020,0.9189054540572352
Nevada,2020,0.7866558496390249
New Hampshire,2020,0.9516041252614856
New Jersey,2020,0.873134284597886
New Mexico,2020,0.823447862346476
New York,2020,0.9216504992326365
North Carolina,2020,0.9379533943853896
North Dakota,2020,0.9625765855274052
Ohio,2020,0.8736130846390534
Oklahoma,2020,0.8469984410635654
Oregon,2020,0.8121588869370417
Pennsylvania,2020,0.874700117883472
Rhode Island,2020,0.898520418027699
South Carolina,2020,0.934938624627337
South Dakota,2020,0.8902729322551535
Tennessee,2020,0.9176340952014468
Texas,2020,0.8171502929444457
Utah,2020,0.7758626731586422
Vermont,2020,0.9419398907103825
Virginia,2020,0.9721253098989806
Washington,2020,0.8884795796159786
West Virginia,2020,0.9413235373973325
Wisconsin,2020,0.86876560570771
Wyoming,2020,0.8637834574747684
Alabama,2021,0.8580163719065497
Alaska,2021,0.9230950552003427
Arizona,2021,0.6455358484714625
Arkansas,2021,0.8289097960003814
California,2021,0.6056046735726669
Colorado,2021,0.7490979344258537
Connecticut,2021,0.8335666394248067
Delaware,2021,0.8176052765093861
District Of Columbia,2021,0.6904109589041096
Florida,2021,0.8975684741459885
Georgia,2021,0.821499748376914
Hawaii,2021,0.9938318427110457
Idaho,2021,0.7811786941488955
Illinois,2021,0.7495880480076416
Indiana,2021,0.8091692956700796
Iowa,2021,0.7832134954714417
Kansas,2021,0.8050393409186377
Kentucky,2021,0.851154167089274
Louisiana,2021,0.8788108332060071
Maine,2021,0.9323036636290393
Maryland,2021,0.841894586281759
Massachusetts,2021,0.8706181035337935
