,State,year,Share,Growth,Good Day Ratio,GREEN RATIO,SCORE,Total_emissions,Number_bill
81,Maryland,2019,0.026,-0.009,0.82,0.487,34.5,18501112.26,11
82,Maryland,2020,0.031,-0.079,0.927,0.492,34.5,14635261.8,1
83,Maryland,2021,0.03,0.028,0.842,0.488,33.0,17346988.7,2
84,Massachusetts,2018,0.031,0.456,0.855,0.497,44.0,3191250.17,5
85,Massachusetts,2019,0.032,0.051,0.905,0.499,44.5,2922945.076,13
86,Massachusetts,2020,0.033,-0.111,0.907,0.5,42.5,2498423.3,3
87,Massachusetts,2021,0.032,0.041,0.871,0.499,44.5,2910191.3,14
88,Michigan,2018,0.026,-0.021,0.843,0.448,28.5,84619513.99,20
89,Michigan,2019,0.025,-0.006,0.883,0.458,28.5,78629190.43,26
90,Michigan,2020,0.028,-0.095,0.879,0.469,28.5,61827872.9,10
91,Michigan,2021,0.028,0.056,0.798,0.454,26.0,69680828.2,13
92,Minnesota,2018,0.02,-0.03,0.853,0.408,32.0,44334631.18,2
93,Minnesota,2019,0.02,-0.007,0.896,0.445,32.5,39626364.03,8
94,Minnesota,2020,0.02,-0.105,0.931,0.453,32.0,32779354.23,4
95,Minnesota,2021,0.021,0.047,0.835,0.454,32.0,36103343.02,12
96,Mississippi,2018,0.016,-0.023,0.832,0.494,8.0,78954442.28,1
97,Mississippi,2019,0.016,0.005,0.834,0.495,8.0,71342123.57,2
98,Mississippi,2020,0.017,-0.107,0.847,0.495,5.5,65775898.4,0
99,Mississippi,2021,0.017,0.064,0.855,0.493,3.5,70833321.0,1
100,Missouri,2018,0.018,-0.354,0.809,0.303,15.0,41562925.45,2
101,Missouri,2019,0.018,0.004,0.865,0.327,14.5,39946602.68,2
102,Missouri,2020,0.019,-0.087,0.885,0.335,13.5,37707610.8,3
103,Missouri,2021,0.019,0.043,0.857,0.296,10.0,37046700.9,3
104,Montana,2018,0.02,-0.022,0.835,0.175,13.0,19794913.64,0
105,Montana,2019,0.019,-0.001,0.9,0.176,12.5,20884313.96,0
106,Montana,2020,0.02,-0.088,0.875,0.174,14.5,14184275.5,2
107,Montana,2021,0.02,0.046,0.787,0.213,10.0,16488502.8,0
108,Nebraska,2018,0.019,-0.016,0.893,0.192,8.0,59259818.33,1
109,Nebraska,2019,0.019,0.006,0.937,0.236,9.5,56495478.66,2
110,Nebraska,2020,0.019,-0.082,0.919,0.239,10.5,41448726.6,0
111,Nebraska,2021,0.019,0.055,0.864,0.242,8.0,44716664.2,4
112,Nevada,2018,0.023,-0.02,0.743,0.497,15.5,40657241.54,0
113,Nevada,2019,0.022,-0.002,0.84,0.496,15.5,37756269.06,0
114,Nevada,2020,0.025,-0.077,0.787,0.497,21.0,35246913.46,0
115,Nevada,2021,0.023,0.038,0.723,0.496,18.5,35854814.11,3
116,New Hampshire,2018,0.022,-0.019,0.914,0.487,19.5,31553013.13,1
117,New Hampshire,2019,0.021,-0.001,0.964,0.496,21.0,28844689.07,7
118,New Hampshire,2020,0.024,-0.075,0.952,0.498,24.5,25642342.8,4
119,New Hampshire,2021,0.024,0.039,0.91,0.497,20.0,25633343.3,3
120,New Jersey,2018,0.013,-0.032,0.784,0.498,21.5,2723778.972,4
121,New Jersey,2019,0.013,-0.003,0.801,0.499,24.0,2436896.164,6
122,New Jersey,2020,0.013,-0.123,0.873,0.499,25.0,1827135.0,5
123,New Jersey,2021,0.013,0.065,0.823,0.499,28.5,2329557.0,14
124,New Mexico,2018,0.013,-0.014,0.764,0.466,13.5,24750685.86,11
125,New Mexico,2019,0.013,0.015,0.8,0.461,14.0,24997918.44,9
126,New Mexico,2020,0.014,-0.101,0.823,0.465,18.5,19197398.0,8
127,New Mexico,2021,0.015,0.053,0.785,0.461,17.0,18786159.6,5
128,New York,2018,0.016,0.406,0.875,0.496,35.5,28181793.7,10
129,New York,2019,0.017,0.021,0.921,0.499,37.0,29777741.33,26
130,New York,2020,0.018,-0.038,0.922,0.499,36.5,25902694.32,9
131,New York,2021,0.017,0.049,0.887,0.499,39.0,24063333.76,33
132,North Carolina,2018,0.022,0.369,0.841,0.48,16.0,16957065.54,0
133,North Carolina,2019,0.022,0.016,0.841,0.48,15.5,16999353.51,5
134,North Carolina,2020,0.023,-0.116,0.938,0.486,16.5,16371258.5,0
135,North Carolina,2021,0.022,0.042,0.863,0.488,14.5,16723033.9,7
136,North Dakota,2018,0.023,-0.03,0.871,0.15,5.5,36648220.54,0
137,North Dakota,2019,0.023,-0.008,0.943,0.2,5.0,33542335.4,2
138,North Dakota,2020,0.021,-0.102,0.963,0.203,5.5,32269404.6,0
139,North Dakota,2021,0.021,0.043,0.811,0.212,4.5,34104325.1,0
140,Ohio,2018,0.02,0.424,0.807,0.46,15.5,112375045.2,3
141,Ohio,2019,0.02,0.017,0.827,0.472,14.0,103136591.9,13
142,Ohio,2020,0.02,-0.096,0.874,0.473,11.5,96500740.18,1
143,Ohio,2021,0.021,0.066,0.809,0.474,4.0,99302367.92,12
144,Oklahoma,2018,0.012,-0.025,0.793,0.486,11.0,57651350.36,1
145,Oklahoma,2019,0.012,0.005,0.843,0.493,12.0,51259422.15,0
146,Oklahoma,2020,0.013,-0.116,0.847,0.494,11.5,44029270.37,0
147,Oklahoma,2021,0.013,0.073,0.765,0.486,5.0,44587537.09,1
148,Oregon,2018,0.027,-0.024,0.801,0.496,35.0,12748662.23,12
149,Oregon,2019,0.027,-0.006,0.846,0.495,32.0,15023599.99,13
150,Oregon,2020,0.028,-0.079,0.812,0.496,32.0,11979933.5,7
151,Oregon,2021,0.028,0.045,0.83,0.5,31.5,11288126.8,24
