,State,Year,Employment,Share,Growth,Good_Day_Ratio,Green_Ratio,Policy_Score,Number_bill,emission_per_capita,Political_Leaning
64,Kansas,2018,24855.333,0.017,-0.021,0.844,0.342,7.5,2,12.62399685,-23.0
65,Kansas,2019,24909.0,0.017,0.002,0.896,0.355,7.0,2,11.56148606,-22.0
66,Kansas,2020,22572.0,0.017,-0.094,0.867,0.345,7.0,0,10.46165337,-21.0
67,Kansas,2021,23821.0,0.017,0.055,0.805,0.325,3.0,6,11.07056265,-21.03681
68,Kentucky,2018,38446.667,0.019,-0.035,0.835,0.4,15.5,8,19.10996685,-23.0
69,Kentucky,2019,38266.0,0.018,-0.005,0.863,0.409,11.0,8,17.35122274,-23.5
70,Kentucky,2020,33150.0,0.018,-0.134,0.917,0.417,13.5,1,13.19502669,-24.0
71,Kentucky,2021,35437.0,0.018,0.069,0.851,0.411,7.0,4,14.85594394,-25.594355
72,Louisiana,2018,31547.0,0.015,-0.046,0.829,0.482,7.5,4,31.60042691,-17.0
73,Louisiana,2019,31109.0,0.015,-0.014,0.843,0.489,6.5,6,31.94309499,-18.0
74,Louisiana,2020,26393.0,0.015,-0.152,0.877,0.491,8.0,5,27.91306585,-19.0
75,Louisiana,2021,28094.0,0.015,0.064,0.879,0.486,3.5,7,28.85164263,-19.698410000000003
76,Maine,2018,12709.333,0.018,-0.012,0.918,0.49,25.5,2,8.00682296,5.0
77,Maine,2019,12798.0,0.018,0.007,0.948,0.497,26.0,1,6.701140076,4.0
78,Maine,2020,11922.0,0.02,-0.068,0.951,0.497,26.5,2,6.050964601,3.0
79,Maine,2021,12493.0,0.02,0.043,0.932,0.498,35.5,3,6.36694104,3.6899155
80,Maryland,2018,85329.333,0.027,-0.026,0.796,0.478,30.0,5,3.631551597,23.0
81,Maryland,2019,84549.0,0.026,-0.009,0.82,0.487,34.5,11,3.001156959,23.0
82,Maryland,2020,77842.0,0.031,-0.079,0.927,0.492,34.5,1,2.374058229,23.0
83,Maryland,2021,80025.0,0.03,0.028,0.842,0.488,33.0,2,2.813940866,24.63195
84,Massachusetts,2018,116491.0,0.031,0.456,0.855,0.497,44.0,5,0.457069902,29.0
85,Massachusetts,2019,122477.0,0.032,0.051,0.905,0.499,44.5,13,0.418641644,26.0
86,Massachusetts,2020,108909.0,0.033,-0.111,0.907,0.5,42.5,3,0.357839101,23.0
87,Massachusetts,2021,113409.0,0.032,0.041,0.871,0.499,44.5,14,0.416814972,27.838615
88,Michigan,2018,126081.0,0.026,-0.021,0.843,0.448,28.5,20,8.433183281,1.0
89,Michigan,2019,125365.0,0.025,-0.006,0.883,0.458,28.5,26,7.836187457,3.5
90,Michigan,2020,113456.0,0.028,-0.095,0.879,0.469,28.5,10,6.161767652,6.0
91,Michigan,2021,119853.0,0.028,0.056,0.798,0.454,26.0,13,6.944393411,2.412013
92,Minnesota,2018,62229.0,0.02,-0.03,0.853,0.408,32.0,2,7.75462731,2.0
93,Minnesota,2019,61805.0,0.02,-0.007,0.896,0.445,32.5,8,6.931098252,1.5
94,Minnesota,2020,55329.0,0.02,-0.105,0.931,0.453,32.0,4,5.73347897,1.0
95,Minnesota,2021,57931.0,0.021,0.047,0.835,0.454,32.0,12,6.31488212,1.4976305
96,Mississippi,2018,20884.667,0.016,-0.023,0.832,0.494,8.0,1,26.85473182,-15.0
97,Mississippi,2019,20985.0,0.016,0.005,0.834,0.495,8.0,2,24.26555797,-15.0
98,Mississippi,2020,18750.0,0.017,-0.107,0.847,0.495,5.5,0,22.37232081,-15.0
99,Mississippi,2021,20018.0,0.017,0.064,0.855,0.493,3.5,1,24.09249923,-17.39133
100,Missouri,2018,56240.0,0.018,-0.354,0.809,0.303,15.0,2,6.7276165,-19.0
101,Missouri,2019,56486.0,0.018,0.004,0.865,0.327,14.5,2,6.465989109,-20.0
102,Missouri,2020,51570.0,0.019,-0.087,0.885,0.335,13.5,3,6.10357288,-21.0
103,Missouri,2021,54397.0,0.019,0.043,0.857,0.296,10.0,3,5.996594165,-20.99009
104,Montana,2018,10389.333,0.02,-0.022,0.835,0.175,13.0,0,17.62890319,-18.0
105,Montana,2019,10376.0,0.019,-0.001,0.9,0.176,12.5,0,18.59909852,-18.0
106,Montana,2020,9460.0,0.02,-0.088,0.875,0.174,14.5,2,12.63219553,-18.0
107,Montana,2021,9898.0,0.02,0.046,0.787,0.213,10.0,0,14.68428834,-18.953325
108,Nebraska,2018,19320.667,0.019,-0.016,0.893,0.192,8.0,1,30.1128745,-24.0
109,Nebraska,2019,19440.0,0.019,0.006,0.937,0.236,9.5,2,28.7081754,-24.5
110,Nebraska,2020,17846.0,0.019,-0.082,0.919,0.239,10.5,0,21.0621689,-25.0
111,Nebraska,2021,18822.0,0.019,0.055,0.864,0.242,8.0,4,22.72277127,-24.875485
112,Nevada,2018,33862.333,0.023,-0.02,0.743,0.497,15.5,0,12.79426011,-1.0
113,Nevada,2019,33788.0,0.022,-0.002,0.84,0.496,15.5,0,11.88136501,-1.0
114,Nevada,2020,31191.0,0.025,-0.077,0.787,0.497,21.0,0,11.09170622,-1.0
115,Nevada,2021,32378.0,0.023,0.038,0.723,0.496,18.5,3,11.28300398,-1.795025
116,New Hampshire,2018,16592.333,0.022,-0.019,0.914,0.487,19.5,1,22.61490257,-2.0
117,New Hampshire,2019,16571.0,0.021,-0.001,0.964,0.496,21.0,7,20.67377307,-1.5
118,New Hampshire,2020,15323.0,0.024,-0.075,0.952,0.498,24.5,4,18.37856441,-1.0
119,New Hampshire,2021,15915.0,0.024,0.039,0.91,0.497,20.0,3,18.37211422,-0.2168158499999999
120,New Jersey,2018,57328.0,0.013,-0.032,0.784,0.498,21.5,4,0.294090638,13.0
121,New Jersey,2019,57139.0,0.013,-0.003,0.801,0.499,24.0,6,0.263115457,12.0
122,New Jersey,2020,50096.0,0.013,-0.123,0.873,0.499,25.0,5,0.197278599,11.0
123,New Jersey,2021,53334.0,0.013,0.065,0.823,0.499,28.5,14,0.251525881,11.17311
124,New Mexico,2018,12182.667,0.013,-0.014,0.764,0.466,13.5,11,11.71162189,7.0
125,New Mexico,2019,12365.0,0.013,0.015,0.8,0.461,14.0,9,11.82860833,7.5
126,New Mexico,2020,11116.0,0.014,-0.101,0.823,0.465,18.5,8,9.083896422,8.0
127,New Mexico,2021,12014.0,0.015,0.053,0.785,0.461,17.0,5,8.889305101,7.5750715
128,New York,2018,156059.0,0.016,0.406,0.875,0.496,35.5,10,1.432209048,22.0
129,New York,2019,159337.0,0.017,0.021,0.921,0.499,37.0,26,1.513315689,22.0
130,New York,2020,153208.0,0.018,-0.038,0.922,0.499,36.5,9,1.316384385,22.0
131,New York,2021,160642.0,0.017,0.049,0.887,0.499,39.0,33,1.22290741,20.951095
132,North Carolina,2018,110913.0,0.022,0.369,0.841,0.48,16.0,0,1.584924604,-5.0
133,North Carolina,2019,112720.0,0.022,0.016,0.841,0.48,15.5,5,1.58887713,-4.5
134,North Carolina,2020,99670.0,0.023,-0.116,0.938,0.486,16.5,0,1.530171027,-4.0
135,North Carolina,2021,103854.0,0.022,0.042,0.863,0.488,14.5,7,1.563050388,-4.407753
136,North Dakota,2018,9266.0,0.023,-0.03,0.871,0.15,5.5,0,47.02945552,-33.0
137,North Dakota,2019,9192.0,0.023,-0.008,0.943,0.2,5.0,2,43.04377532,-33.5
138,North Dakota,2020,8258.0,0.021,-0.102,0.963,0.203,5.5,0,41.41026511,-34.0
139,North Dakota,2021,8614.0,0.021,0.043,0.811,0.212,4.5,0,43.76495821,-35.534890000000004
140,Ohio,2018,112486.0,0.02,0.424,0.807,0.46,15.5,3,9.558905307,-7.0
141,Ohio,2019,114388.0,0.02,0.017,0.827,0.472,14.0,13,8.773059124,-6.5
142,Ohio,2020,103437.0,0.02,-0.096,0.874,0.473,11.5,1,8.208596809,-6.0
143,Ohio,2021,110272.0,0.021,0.066,0.809,0.474,4.0,12,8.446910344,-9.05322
144,Oklahoma,2018,22662.667,0.012,-0.025,0.793,0.486,11.0,1,14.34184545,-34.0
145,Oklahoma,2019,22765.0,0.012,0.005,0.843,0.493,12.0,0,12.75173445,-33.5
146,Oklahoma,2020,20132.0,0.013,-0.116,0.847,0.494,11.5,0,10.95309975,-33.0
147,Oklahoma,2021,21602.0,0.013,0.073,0.765,0.486,5.0,1,11.09197898,-34.934275
148,Oregon,2018,56960.0,0.027,-0.024,0.801,0.496,35.0,12,3.006662811,9.0
149,Oregon,2019,56617.0,0.027,-0.006,0.846,0.495,32.0,13,3.543187399,8.0
150,Oregon,2020,52150.0,0.028,-0.079,0.812,0.496,32.0,7,2.825364723,7.0
151,Oregon,2021,53869.0,0.028,0.045,0.83,0.5,31.5,24,2.662208037,8.80227
152,Pennsylvania,2018,92403.667,0.014,-0.006,0.798,0.478,21.5,5,8.681908414,-1.0
153,Pennsylvania,2019,93861.0,0.014,0.016,0.828,0.486,23.5,15,8.781510711,-1.0
154,Pennsylvania,2020,87313.0,0.016,-0.07,0.875,0.492,22.0,5,7.085339086,-1.0
155,Pennsylvania,2021,92773.0,0.016,0.05,0.792,0.491,18.5,23,7.68109894,-1.98388
156,Rhode Island,2018,16990.667,0.031,-0.059,0.86,0.499,41.0,3,3.234998203,26.0
157,Rhode Island,2019,16429.0,0.03,-0.033,0.889,0.5,40.5,2,2.942935826,25.0
158,Rhode Island,2020,13874.0,0.031,-0.156,0.899,0.5,39.5,3,3.179245136,24.0
159,Rhode Island,2021,14309.0,0.03,0.031,0.867,0.5,33.0,4,3.310902651,23.833755
160,South Carolina,2018,46658.0,0.02,-0.026,0.894,0.476,10.0,4,7.205990106,-17.0
161,South Carolina,2019,46527.0,0.02,-0.003,0.881,0.483,10.5,0,6.400938356,-16.5
162,South Carolina,2020,41888.0,0.021,-0.1,0.935,0.485,11.0,0,5.700752087,-16.0
163,South Carolina,2021,44011.0,0.02,0.051,0.849,0.482,3.0,0,6.226713605,-17.132984999999998
164,South Dakota,2018,11172.667,0.024,0.018,0.882,0.43,7.5,0,6.376947579,-31.0
165,South Dakota,2019,11458.0,0.025,0.026,0.905,0.424,7.0,1,6.984683185,-29.5
166,South Dakota,2020,11406.0,0.027,-0.005,0.89,0.447,8.0,1,5.428395822,-28.0
167,South Dakota,2021,11860.0,0.027,0.067,0.821,0.456,3.5,7,5.816215554,-30.0016
168,Tennessee,2018,78695.333,0.024,-0.012,0.85,0.455,14.0,0,5.936995253,-28.0
169,Tennessee,2019,79626.0,0.024,0.012,0.851,0.465,14.5,2,5.686289214,-28.0
170,Tennessee,2020,72952.0,0.025,-0.084,0.918,0.47,14.5,0,4.486378601,-28.0
171,Tennessee,2021,77685.0,0.025,0.026,0.845,0.46,11.0,5,5.175061815,-28.6025
172,Texas,2018,233447.0,0.017,0.588,0.797,0.479,16.5,8,12.97423946,-17.0
173,Texas,2019,241289.0,0.017,0.034,0.802,0.484,15.5,16,12.74227533,-17.0
174,Texas,2020,223406.0,0.019,-0.074,0.817,0.485,14.5,7,11.41104168,-17.0
175,Texas,2021,238884.0,0.018,0.069,0.805,0.482,10.0,15,11.84762131,-14.95139
176,Utah,2018,43543.333,0.028,-0.006,0.632,0.422,21.0,0,10.75089799,-31.0
177,Utah,2019,44005.0,0.027,0.011,0.765,0.429,19.5,8,10.71607725,-30.5
178,Utah,2020,41514.0,0.027,-0.057,0.776,0.434,20.5,13,9.453350627,-30.0
179,Utah,2021,43452.0,0.027,0.047,0.698,0.433,17.0,16,10.68143868,-28.141615
180,Vermont,2018,16814.0,0.048,-0.028,0.906,0.303,40.5,0,70.65183908,24.0
181,Vermont,2019,16635.0,0.049,-0.011,0.936,0.411,40.5,5,66.01161443,24.0
182,Vermont,2020,15238.0,0.054,-0.084,0.942,0.388,40.0,2,58.03928468,24.0
183,Vermont,2021,15668.0,0.052,0.028,0.913,0.293,36.5,4,51.2435943,25.889865
184,Virginia,2018,95158.0,0.022,0.252,0.913,0.492,16.0,10,0.050703091,0.0
185,Virginia,2019,97305.0,0.022,0.023,0.933,0.497,15.0,9,0.053312506,3.5
186,Virginia,2020,88370.0,0.024,-0.092,0.972,0.497,18.0,4,0.014409142,7.0
187,Virginia,2021,92315.0,0.024,0.057,0.914,0.497,19.5,5,0.015042254,5.3008065
188,Washington,2018,87338.0,0.023,-0.044,0.84,0.476,31.5,1,2.937837087,12.0
189,Washington,2019,85035.0,0.022,-0.026,0.887,0.479,31.5,5,3.497627814,13.5
190,Washington,2020,75684.0,0.023,-0.11,0.888,0.483,30.5,4,2.705020084,15.0
191,Washington,2021,76905.0,0.022,0.054,0.885,0.491,31.5,8,2.564248311,13.719195
192,West Virginia,2018,10076.0,0.013,-0.026,0.883,0.159,5.5,2,28.46061733,-30.0
193,West Virginia,2019,10078.0,0.013,0.0,0.899,0.221,6.5,5,24.3481402,-31.5
194,West Virginia,2020,8996.0,0.014,-0.107,0.941,0.267,5.5,2,21.83762334,-33.0
195,West Virginia,2021,9540.0,0.014,0.06,0.867,0.238,4.0,13,24.11966847,-34.288785000000004
196,Wisconsin,2018,77781.0,0.025,-0.033,0.825,0.433,15.5,1,13.43988076,-1.0
197,Wisconsin,2019,76685.0,0.025,-0.014,0.879,0.454,16.0,0,12.68787818,-2.0
198,Wisconsin,2020,69343.0,0.025,-0.096,0.869,0.461,17.0,4,9.378776212,-3.0
199,Wisconsin,2021,71370.0,0.025,0.029,0.798,0.451,13.0,6,10.94506283,-3.419988
200,Wyoming,2018,8824.667,0.03,-0.027,0.789,0.103,4.5,4,102.0785388,-47.0
201,Wyoming,2019,8721.0,0.03,-0.012,0.871,0.123,4.5,6,93.91275356,-46.0
202,Wyoming,2020,8042.0,0.031,-0.078,0.864,0.166,4.0,6,89.50513983,-45.0
203,Wyoming,2021,8226.0,0.031,0.023,0.79,0.187,2.0,12,86.85085409,-47.433255
